#NAME,ADM3_R1_q25,SSD4_S18_L001_R1_001,M1_2,DEVA_BWPP7_M,SSD7_S5_L001_R1_001,M9_2,G5088,SSD8_S7_L003_R1_001,LHC14.Cone.Pool.Cones,Zloty_Stok_ZS_2,Zloty_Stok_ZS_3,SD6_S2_L002_R1_001,JM5.R1,SSD4_S18_L002_R1_001,SSD8_S7_L004_R1_001,SSD10_S12_L002_R1_001,M8_1,SD7_S4_L001_R1_001,JM6.R1,DEVA_BWPP7_G,M8_2,M4_1,JM23.R1,M6_1,M7_1,SD3_S15_L001_R1_001,G5089,M5_2,SSD6_S3_L003_R1_001,G5090,JM29.R1,KOW_3,SD6_S2_L001_R1_001,GB14.Black.Soil.Upstream.of.Weir,ADM1_R1_q25,KOW_2,DEVA_BWPP7_L,M2_2,GB14.Orange.Biofilm.Below.Weir,SSD9_S9_L002_R1_001,SSD3_S16_L003_R1_001,JM30.R1,DEVA_BWPP7_N,M4__2,SD10_S10_L001_R1_001,M2_1,M5_1,JM26.R1,DEVA_BWPP7_H,GB14.Cone.Pool.Mat,JM4.R1,M1_1,KOW_0,JM31.R1,M6_2,SSD10_S12_L003_R1_001,ADM2_R1_q25,M7_2,JM15.R1,M3_1,JM8.R1,DEVA_BWPP7_I,M3_2
K03020,725,300,21318,29995,2085,26033,35695,3163,46497,70225,118979,3825,11159,2201,3016,2967,24713,4695,9624,43314,24825,16,9804,30,24427,2597,32031,23832,2583,28712,12136,49,4279,28174,100497,187151,34871,22324,37136,2475,1717,11450,28082,23316,2429,22212,23692,10962,56365,42871,10363,20852,200128,9535,22306,2301,15546,25030,12114,21517,7377,51212,9
K03022,2,3,34,497,15,6,1045,94,1,247,220,15,31,60,71,172,2,76,32,466,4,0,53,0,10,52,1242,23,96,1210,83,1,19,110,1110,100,660,21,16,87,28,13,82,22,113,24,17,55,414,255,28,28,93,50,22,104,119,8,539,43,1780,1349,1
K03030,508,216,16768,20218,1487,19867,25326,2325,40525,57163,90318,2559,9232,1426,2200,2123,21274,3268,7698,28655,21422,90,8215,96,18116,1727,21709,19358,1968,18838,10163,161,2754,25991,73843,174328,23758,18198,33293,1722,1229,9294,19413,18078,1582,18330,19239,8748,38314,32279,8358,16830,185740,7093,18115,1559,11267,18489,9840,16654,6592,36043,67
K03040,5,1,721,652,6,59,1818,5,13,3712,1093,11,15,1,12,9,39,12,24,1817,21,2,79,0,77,1,2389,156,7,1036,37,7,15,388,204,509,797,577,60,6,6,32,650,250,3,568,174,36,2659,32,8,724,505,41,273,5,25,72,73,940,63,3541,3
K03050,3,14,498,848,36,300,1322,88,32,1634,2009,19,52,78,85,123,288,126,25,1480,291,4,65,6,225,60,1479,452,84,904,112,8,41,427,1168,337,1099,656,109,56,45,32,448,303,66,610,435,24,1661,169,13,466,250,43,263,82,141,214,343,605,956,2450,8
K03060,56,19,1216,1411,97,1146,1909,131,4272,5359,7203,205,870,80,87,152,1651,193,757,2127,1591,1,698,0,1370,114,1594,1487,105,1230,915,5,198,2945,7094,11383,1634,1234,3689,94,83,836,1203,1233,103,1264,1451,778,2925,2778,823,1234,13153,642,1239,91,1146,1316,779,1154,579,2558,2
K03070,646,251,18310,26420,1615,25160,29940,2651,41287,68805,121190,3347,9776,1715,2564,2331,24503,3749,7951,39307,24676,215,9568,239,21476,2100,26059,20907,2150,23149,12443,501,3403,22574,85346,272322,31844,19898,32069,1823,1462,10762,26615,21103,1863,19909,20271,8975,52631,33290,9118,18081,268489,7941,19829,1873,13544,21855,11008,19547,7038,47254,146
K03320,1,1,18,41,2,8,27,0,1,117,95,1,1,0,0,0,10,0,2,88,27,0,3,0,6,0,42,12,1,25,2,0,1,10,9,40,25,7,7,0,0,0,66,14,0,22,12,0,142,0,1,15,33,1,10,0,1,6,12,19,1,137,0
K03410,254,58,7557,7472,489,9421,6163,795,9220,20726,37161,1071,3396,468,799,556,9373,1243,2795,11782,9509,23,3663,42,7551,537,5349,8643,599,4756,4329,96,1079,10350,26084,58713,8635,8093,8039,541,484,3974,7697,7899,446,8141,8837,3403,15784,8253,3076,7548,61082,2535,7693,506,3832,7629,4350,7391,2605,13963,31
K03420,682,273,15966,23560,1851,18644,24424,2872,45656,45990,88248,2915,8532,1803,2768,2327,18604,4036,7198,30797,18768,128,6710,100,18379,2208,22060,18720,2242,20341,8517,152,3015,21157,78045,126733,28385,16863,34978,2064,1523,7576,20807,17895,1850,16875,18602,8384,40488,37142,7992,16132,138584,7260,17156,1973,12127,18978,9641,16309,6944,38599,116
